"tap_sec","group_member","condition","group_number","trial"
"14.966350",1,"loner_subgroup",2,3
"15.425306",3,"loner_subgroup",2,3
"15.560272",2,"loner_subgroup",2,3
"16.132063",1,"loner_subgroup",2,3
"16.604082",3,"loner_subgroup",2,3
"16.677008",2,"loner_subgroup",2,3
"1.409524",1,"seq_a",2,0
"1.964263",1,"seq_a",2,0
"2.619501",1,"seq_a",2,0
"3.248980",1,"seq_a",2,0
"3.842902",1,"seq_a",2,0
"4.448798",1,"seq_a",2,0
"5.050703",1,"seq_a",2,0
"8.048616",1,"seq_a",2,0
"8.590657",2,"seq_a",2,0
"9.155918",3,"seq_a",2,0
"14.367347",1,"seq_a",2,0
"15.124172",2,"seq_a",2,0
"15.512018",3,"seq_a",2,0
"2.645261",1,"seq_a",2,1
"3.288163",2,"seq_a",2,1
"3.346939",1,"seq_a",2,1
"3.950658",3,"seq_a",2,1
"4.534785",1,"seq_a",2,1
"5.138141",2,"seq_a",2,1
"5.709569",3,"seq_a",2,1
"6.283900",1,"seq_a",2,1
"6.830657",2,"seq_a",2,1
"7.355283",3,"seq_a",2,1
"7.991292",1,"seq_a",2,1
"8.562358",2,"seq_a",2,1
"9.090975",3,"seq_a",2,1
"9.798096",1,"seq_a",2,1
"10.315465",2,"seq_a",2,1
"10.776961",3,"seq_a",2,1
"11.368708",1,"seq_a",2,1
"11.900227",2,"seq_a",2,1
"12.345759",3,"seq_a",2,1
"12.870749",1,"seq_a",2,1
"13.397551",2,"seq_a",2,1
"14.058594",3,"seq_a",2,1
"14.611156",1,"seq_a",2,1
"15.211973",2,"seq_a",2,1
"2.525896",1,"seq_a",2,2
"3.133243",2,"seq_a",2,2
"3.632834",3,"seq_a",2,2
"4.241270",1,"seq_a",2,2
"4.835193",2,"seq_a",2,2
"5.322812",3,"seq_a",2,2
"5.919274",1,"seq_a",2,2
"6.461678",2,"seq_a",2,2
"6.919547",3,"seq_a",2,2
"7.526894",1,"seq_a",2,2
"8.074739",2,"seq_a",2,2
"8.553651",3,"seq_a",2,2
"9.103311",1,"seq_a",2,2
"9.665306",2,"seq_a",2,2
"10.176508",3,"seq_a",2,2
"10.757732",1,"seq_a",2,2
"11.315737",2,"seq_a",2,2
"11.778322",3,"seq_a",2,2
"12.306939",1,"seq_a",2,2
"12.870385",2,"seq_a",2,2
"13.368526",3,"seq_a",2,2
"13.925079",1,"seq_a",2,2
"14.473651",2,"seq_a",2,2
"14.987755",3,"seq_a",2,2
"2.684082",1,"seq_a",2,3
"3.360726",2,"seq_a",2,3
"3.917642",3,"seq_a",2,3
"4.511565",1,"seq_a",2,3
"5.102585",2,"seq_a",2,3
"5.670748",3,"seq_a",2,3
"6.291519",1,"seq_a",2,3
"6.846622",2,"seq_a",2,3
"7.408979",3,"seq_a",2,3
"7.896962",1,"seq_a",2,3
"8.490521",2,"seq_a",2,3
"9.019501",3,"seq_a",2,3
"9.593832",1,"seq_a",2,3
"10.128254",2,"seq_a",2,3
"10.732698",3,"seq_a",2,3
"11.305941",1,"seq_a",2,3
"11.818232",2,"seq_a",2,3
"12.301860",3,"seq_a",2,3
"12.900862",1,"seq_a",2,3
"13.428753",2,"seq_a",2,3
"13.894603",3,"seq_a",2,3
"14.493968",1,"seq_a",2,3
"14.992109",2,"seq_a",2,3
"15.498957",3,"seq_a",2,3
"2.639819",3,"subgroup_loner",2,0
"2.701859",2,"subgroup_loner",2,0
"3.384671",1,"subgroup_loner",2,0
"3.968435",2,"subgroup_loner",2,0
"3.990567",3,"subgroup_loner",2,0
"4.639275",1,"subgroup_loner",2,0
"5.230658",2,"subgroup_loner",2,0
"5.330431",3,"subgroup_loner",2,0
"5.917098",1,"subgroup_loner",2,0
"6.489977",3,"subgroup_loner",2,0
"6.529161",2,"subgroup_loner",2,0
"7.221769",1,"subgroup_loner",2,0
"7.761270",3,"subgroup_loner",2,0
"7.825850",2,"subgroup_loner",2,0
"8.405261",1,"subgroup_loner",2,0
"8.967257",3,"subgroup_loner",2,0
"8.974512",2,"subgroup_loner",2,0
"9.560453",1,"subgroup_loner",2,0
"10.133697",3,"subgroup_loner",2,0
"10.169977",2,"subgroup_loner",2,0
"10.700408",1,"subgroup_loner",2,0
"11.237370",2,"subgroup_loner",2,0
"11.259501",3,"subgroup_loner",2,0
"11.830204",1,"subgroup_loner",2,0
"12.375873",3,"subgroup_loner",2,0
"12.476372",2,"subgroup_loner",2,0
"13.057234",1,"subgroup_loner",2,0
"13.602902",3,"subgroup_loner",2,0
"13.638095",2,"subgroup_loner",2,0
"14.202268",1,"subgroup_loner",2,0
"14.770068",3,"subgroup_loner",2,0
"14.806712",2,"subgroup_loner",2,0
"15.401361",1,"subgroup_loner",2,0
"15.946304",2,"subgroup_loner",2,0
"15.971701",3,"subgroup_loner",2,0
"16.571428",1,"subgroup_loner",2,0
"2.571973",3,"subgroup_loner",2,1
"2.690975",2,"subgroup_loner",2,1
"3.357460",1,"subgroup_loner",2,1
"3.933243",3,"subgroup_loner",2,1
"3.939410",2,"subgroup_loner",2,1
"4.575419",1,"subgroup_loner",2,1
"5.100045",3,"subgroup_loner",2,1
"5.172970",2,"subgroup_loner",2,1
"5.795556",1,"subgroup_loner",2,1
"6.335057",3,"subgroup_loner",2,1
"6.368073",2,"subgroup_loner",2,1
"6.958004",1,"subgroup_loner",2,1
"7.506213",3,"subgroup_loner",2,1
"7.558458",2,"subgroup_loner",2,1
"8.129161",1,"subgroup_loner",2,1
"8.640726",3,"subgroup_loner",2,1
"8.678458",2,"subgroup_loner",2,1
"9.294875",1,"subgroup_loner",2,1
"9.846349",3,"subgroup_loner",2,1
"9.868843",2,"subgroup_loner",2,1
"10.446440",1,"subgroup_loner",2,1
"10.998639",3,"subgroup_loner",2,1
"11.047619",2,"subgroup_loner",2,1
"11.635374",1,"subgroup_loner",2,1
"12.192653",2,"subgroup_loner",2,1
"12.196281",3,"subgroup_loner",2,1
"12.823583",1,"subgroup_loner",2,1
"13.358005",3,"subgroup_loner",2,1
"13.405895",2,"subgroup_loner",2,1
"13.955918",1,"subgroup_loner",2,1
"14.504490",3,"subgroup_loner",2,1
"14.534966",2,"subgroup_loner",2,1
"15.141587",1,"subgroup_loner",2,1
"15.641541",3,"subgroup_loner",2,1
"15.673470",2,"subgroup_loner",2,1
"16.273197",1,"subgroup_loner",2,1
"2.620589",3,"subgroup_loner",2,2
"2.684807",2,"subgroup_loner",2,2
"3.340771",1,"subgroup_loner",2,2
"3.892608",3,"subgroup_loner",2,2
"3.961905",2,"subgroup_loner",2,2
"4.596100",1,"subgroup_loner",2,2
"5.160272",3,"subgroup_loner",2,2
"5.208163",2,"subgroup_loner",2,2
"5.867030",1,"subgroup_loner",2,2
"6.385125",3,"subgroup_loner",2,2
"6.436644",2,"subgroup_loner",2,2
"7.090794",1,"subgroup_loner",2,2
"7.650612",2,"subgroup_loner",2,2
"7.667302",3,"subgroup_loner",2,2
"8.261587",1,"subgroup_loner",2,2
"8.813424",3,"subgroup_loner",2,2
"8.852970",2,"subgroup_loner",2,2
"9.462494",1,"subgroup_loner",2,2
"10.056780",3,"subgroup_loner",2,2
"10.062948",2,"subgroup_loner",2,2
"10.721451",1,"subgroup_loner",2,2
"11.284172",3,"subgroup_loner",2,2
"11.310295",2,"subgroup_loner",2,2
"11.887891",1,"subgroup_loner",2,2
"12.440454",3,"subgroup_loner",2,2
"12.477823",2,"subgroup_loner",2,2
"13.079728",1,"subgroup_loner",2,2
"13.593832",3,"subgroup_loner",2,2
"13.695419",2,"subgroup_loner",2,2
"14.288980",1,"subgroup_loner",2,2
"14.859682",3,"subgroup_loner",2,2
"14.877097",2,"subgroup_loner",2,2
"15.485896",1,"subgroup_loner",2,2
"16.021044",3,"subgroup_loner",2,2
"16.061316",2,"subgroup_loner",2,2
"16.679909",1,"subgroup_loner",2,2
"2.633651",3,"subgroup_loner",2,3
"2.644172",2,"subgroup_loner",2,3
"3.297596",1,"subgroup_loner",2,3
"3.889705",2,"subgroup_loner",2,3
"3.903129",3,"subgroup_loner",2,3
